tipo_documento;documento;codigo;Nombre;Apellido;email
cc;10000001;100001;Estudiante1;lastname01;usuario1@usantoto.edu.co
cc;10000002;100002;Estudiante2;lastname02;usuario2@usantoto.edu.co
cc;10000003;100003;Estudiante3;lastname03;usuario3@usantoto.edu.co
cc;10000004;100004;Estudiante4;lastname04;usuario4@usantoto.edu.co
cc;10000005;100005;Estudiante5;lastname05;usuario5@usantoto.edu.co
cc;10000006;100006;Estudiante6;lastname06;usuario6@usantoto.edu.co
cc;20000001;200001;Docente1;lastname01;docente1@usantoto.edu.co
cc;20000002;200002;Docente2;lastname02;docente2@usantoto.edu.co
cc;20000003;200003;Docente3;lastname03;docente3@usantoto.edu.co
cc;20000004;200004;Docente4;lastname04;docente4@usantoto.edu.co
